param delay_link :=
  N1 N2 0.000
  N2 N3 0.000
  N3 N4 0.000
  N4 N5 0.000
  N5 N6 0.000
  N6 N7 0.000
  N7 N8 0.000
  N8 N9 0.000
  N9 N10 0.000
  N9 N12 0.000
  N10 N12 0.000
  N11 N12 0.000
  N10 N11 0.000
  N11 N26 0.000
  N25 N26 0.000
  N23 N25 0.000
  N24 N25 0.000
  N23 N24 0.000
  N22 N24 0.000
  N23 N27 0.000
  N22 N23 0.000
  N21 N22 0.000
  N1 N21 0.000
  N20 N21 0.000
  N1 N20 0.000
  N20 N22 0.000
  N2 N20 0.000
  N20 N27 0.000
  N22 N27 0.000
  N19 N20 0.000
  N19 N27 0.000
  N4 N19 0.000
  N18 N19 0.000
  N16 N19 0.000
  N19 N24 0.000
  N16 N24 0.000
  N16 N26 0.000
  N15 N16 0.000
  N11 N15 0.000
  N13 N15 0.000
  N16 N17 0.000
  N16 N18 0.000
  N17 N18 0.000
  N5 N18 0.000
  N14 N17 0.000
  N5 N14 0.000
  N6 N14 0.000
  N7 N14 0.000
  N13 N17 0.000
  N12 N13 0.000
  N24 N27 0.000
;
