
========================================
 ESECUZIONE TEST: C:\Users\annam\OneDrive\Desktop\universita\anno 3\2 semestre\tesi\VNF-model\test\norway\norway_12_10_H.dat
========================================

Tempo di esecuzione: 32.52 secondi
solve_result: limit

--- LIMITE DI TEMPO (30s) RAGGIUNTO ---
Migliore soluzione (Upper Bound): 7230.769196799999
Migliore lower bound: 0

L_max = 7230.769196799999

--- Installazioni VNF (y_if = 1) ---
  VNF F1 installata sul nodo N1
  VNF F2 installata sul nodo N1
  VNF F3 installata sul nodo N1
  VNF F1 installata sul nodo N10
  VNF F1 installata sul nodo N11
  VNF F1 installata sul nodo N13
  VNF F1 installata sul nodo N14
  VNF F2 installata sul nodo N15
  VNF F3 installata sul nodo N15
  VNF F2 installata sul nodo N17
  VNF F1 installata sul nodo N18
  VNF F2 installata sul nodo N18
  VNF F2 installata sul nodo N19
  VNF F3 installata sul nodo N19
  VNF F1 installata sul nodo N2
  VNF F2 installata sul nodo N2
  VNF F3 installata sul nodo N2
  VNF F1 installata sul nodo N20
  VNF F2 installata sul nodo N20
  VNF F3 installata sul nodo N20
  VNF F4 installata sul nodo N20
  VNF F1 installata sul nodo N21
  VNF F2 installata sul nodo N21
  VNF F3 installata sul nodo N21
  VNF F1 installata sul nodo N22
  VNF F2 installata sul nodo N22
  VNF F1 installata sul nodo N23
  VNF F2 installata sul nodo N23
  VNF F3 installata sul nodo N23
  VNF F2 installata sul nodo N24
  VNF F3 installata sul nodo N24
  VNF F4 installata sul nodo N24
  VNF F1 installata sul nodo N25
  VNF F2 installata sul nodo N25
  VNF F3 installata sul nodo N25
  VNF F1 installata sul nodo N26
  VNF F2 installata sul nodo N26
  VNF F2 installata sul nodo N27
  VNF F4 installata sul nodo N27
  VNF F1 installata sul nodo N3
  VNF F2 installata sul nodo N3
  VNF F2 installata sul nodo N4
  VNF F3 installata sul nodo N4
  VNF F2 installata sul nodo N7
  VNF F3 installata sul nodo N7
  VNF F1 installata sul nodo N8
  VNF F3 installata sul nodo N8

--- Assegnazioni domanda->VNF (z_if^k = 1) ---
  Domanda ds_D100_N26_N2: usa VNF F3 sul nodo N2
  Domanda ds_D100_N26_N2: usa VNF F4 sul nodo N20
  Domanda ds_D100_N26_N2: usa VNF F1 sul nodo N3
  Domanda ds_D100_N26_N2: usa VNF F2 sul nodo N3
  Domanda ds_D101_N2_N27: usa VNF F2 sul nodo N17
  Domanda ds_D101_N2_N27: usa VNF F1 sul nodo N18
  Domanda ds_D101_N2_N27: usa VNF F4 sul nodo N20
  Domanda ds_D101_N2_N27: usa VNF F3 sul nodo N4
  Domanda ds_D89_N2_N21: usa VNF F1 sul nodo N1
  Domanda ds_D89_N2_N21: usa VNF F2 sul nodo N1
  Domanda ds_D89_N2_N21: usa VNF F3 sul nodo N1
  Domanda ds_D89_N2_N21: usa VNF F4 sul nodo N20
  Domanda ds_D90_N21_N2: usa VNF F4 sul nodo N20
  Domanda ds_D90_N21_N2: usa VNF F1 sul nodo N21
  Domanda ds_D90_N21_N2: usa VNF F2 sul nodo N21
  Domanda ds_D90_N21_N2: usa VNF F3 sul nodo N21
  Domanda ds_D91_N2_N22: usa VNF F3 sul nodo N19
  Domanda ds_D91_N2_N22: usa VNF F1 sul nodo N20
  Domanda ds_D91_N2_N22: usa VNF F2 sul nodo N20
  Domanda ds_D91_N2_N22: usa VNF F4 sul nodo N27
  Domanda ds_D92_N22_N2: usa VNF F3 sul nodo N20
  Domanda ds_D92_N22_N2: usa VNF F4 sul nodo N20
  Domanda ds_D92_N22_N2: usa VNF F2 sul nodo N4
  Domanda ds_D92_N22_N2: usa VNF F1 sul nodo N8
  Domanda ds_D93_N2_N23: usa VNF F1 sul nodo N13
  Domanda ds_D93_N2_N23: usa VNF F4 sul nodo N20
  Domanda ds_D93_N2_N23: usa VNF F2 sul nodo N7
  Domanda ds_D93_N2_N23: usa VNF F3 sul nodo N7
  Domanda ds_D94_N23_N2: usa VNF F4 sul nodo N20
  Domanda ds_D94_N23_N2: usa VNF F1 sul nodo N22
  Domanda ds_D94_N23_N2: usa VNF F2 sul nodo N24
  Domanda ds_D94_N23_N2: usa VNF F3 sul nodo N24
  Domanda ds_D95_N2_N24: usa VNF F2 sul nodo N20
  Domanda ds_D95_N2_N24: usa VNF F3 sul nodo N20
  Domanda ds_D95_N2_N24: usa VNF F4 sul nodo N20
  Domanda ds_D95_N2_N24: usa VNF F1 sul nodo N3
  Domanda ds_D97_N2_N25: usa VNF F2 sul nodo N19
  Domanda ds_D97_N2_N25: usa VNF F3 sul nodo N19
  Domanda ds_D97_N2_N25: usa VNF F1 sul nodo N2
  Domanda ds_D97_N2_N25: usa VNF F4 sul nodo N20
  Domanda ds_D98_N25_N2: usa VNF F4 sul nodo N20
  Domanda ds_D98_N25_N2: usa VNF F2 sul nodo N24
  Domanda ds_D98_N25_N2: usa VNF F3 sul nodo N24
  Domanda ds_D98_N25_N2: usa VNF F1 sul nodo N25
  Domanda ds_D99_N2_N26: usa VNF F2 sul nodo N20
  Domanda ds_D99_N2_N26: usa VNF F3 sul nodo N20
  Domanda ds_D99_N2_N26: usa VNF F4 sul nodo N20
  Domanda ds_D99_N2_N26: usa VNF F1 sul nodo N3

--- Routing (x_ij^ks = 1) ---
  Domanda ds_D100_N26_N2, subpath 4: arco (N1 -> N21)
  Domanda ds_D100_N26_N2, subpath 1: arco (N16 -> N19)
  Domanda ds_D100_N26_N2, subpath 1: arco (N19 -> N4)
  Domanda ds_D100_N26_N2, subpath 4: arco (N2 -> N1)
  Domanda ds_D100_N26_N2, subpath 5: arco (N20 -> tau)
  Domanda ds_D100_N26_N2, subpath 4: arco (N21 -> N22)
  Domanda ds_D100_N26_N2, subpath 4: arco (N22 -> N23)
  Domanda ds_D100_N26_N2, subpath 4: arco (N23 -> N24)
  Domanda ds_D100_N26_N2, subpath 4: arco (N24 -> N27)
  Domanda ds_D100_N26_N2, subpath 1: arco (N26 -> N16)
  Domanda ds_D100_N26_N2, subpath 4: arco (N27 -> N20)
  Domanda ds_D100_N26_N2, subpath 3: arco (N3 -> N2)
  Domanda ds_D100_N26_N2, subpath 1: arco (N4 -> N3)
  Domanda ds_D100_N26_N2, subpath 1: arco (ds_D100_N26_N2 -> N26)
  Domanda ds_D101_N2_N27, subpath 1: arco (N1 -> N21)
  Domanda ds_D101_N2_N27, subpath 3: arco (N14 -> N5)
  Domanda ds_D101_N2_N27, subpath 1: arco (N16 -> N18)
  Domanda ds_D101_N2_N27, subpath 3: arco (N17 -> N14)
  Domanda ds_D101_N2_N27, subpath 2: arco (N18 -> N17)
  Domanda ds_D101_N2_N27, subpath 4: arco (N19 -> N27)
  Domanda ds_D101_N2_N27, subpath 1: arco (N2 -> N1)
  Domanda ds_D101_N2_N27, subpath 5: arco (N20 -> tau)
  Domanda ds_D101_N2_N27, subpath 1: arco (N21 -> N22)
  Domanda ds_D101_N2_N27, subpath 1: arco (N22 -> N24)
  Domanda ds_D101_N2_N27, subpath 1: arco (N24 -> N16)
  Domanda ds_D101_N2_N27, subpath 4: arco (N27 -> N20)
  Domanda ds_D101_N2_N27, subpath 4: arco (N4 -> N19)
  Domanda ds_D101_N2_N27, subpath 3: arco (N5 -> N4)
  Domanda ds_D101_N2_N27, subpath 1: arco (ds_D101_N2_N27 -> N2)
  Domanda ds_D89_N2_N21, subpath 4: arco (N1 -> N21)
  Domanda ds_D89_N2_N21, subpath 1: arco (N2 -> N1)
  Domanda ds_D89_N2_N21, subpath 5: arco (N20 -> tau)
  Domanda ds_D89_N2_N21, subpath 4: arco (N21 -> N22)
  Domanda ds_D89_N2_N21, subpath 4: arco (N22 -> N23)
  Domanda ds_D89_N2_N21, subpath 4: arco (N23 -> N24)
  Domanda ds_D89_N2_N21, subpath 4: arco (N24 -> N27)
  Domanda ds_D89_N2_N21, subpath 4: arco (N27 -> N20)
  Domanda ds_D89_N2_N21, subpath 1: arco (ds_D89_N2_N21 -> N2)
  Domanda ds_D90_N21_N2, subpath 5: arco (N20 -> tau)
  Domanda ds_D90_N21_N2, subpath 4: arco (N21 -> N22)
  Domanda ds_D90_N21_N2, subpath 4: arco (N22 -> N23)
  Domanda ds_D90_N21_N2, subpath 4: arco (N23 -> N24)
  Domanda ds_D90_N21_N2, subpath 4: arco (N24 -> N27)
