
========================================
 ESECUZIONE TEST: C:\Users\annam\OneDrive\Desktop\universita\anno 3\2 semestre\tesi\VNF-model\test\ta1\ta1_12_2_E.dat
========================================

Tempo di esecuzione: 31.46 secondi
solve_result: limit

--- LIMITE DI TEMPO (30s) RAGGIUNTO ---
Migliore soluzione (Upper Bound): 6999.999996799963
Migliore lower bound: 0

L_max = 6999.999996799963

--- Installazioni VNF (y_if = 1) ---
  VNF F1 installata sul nodo N10
  VNF F2 installata sul nodo N10
  VNF F3 installata sul nodo N10
  VNF F1 installata sul nodo N14
  VNF F2 installata sul nodo N14
  VNF F3 installata sul nodo N14
  VNF F1 installata sul nodo N15
  VNF F2 installata sul nodo N15
  VNF F3 installata sul nodo N15
  VNF F4 installata sul nodo N15
  VNF F1 installata sul nodo N16
  VNF F2 installata sul nodo N16
  VNF F3 installata sul nodo N16
  VNF F4 installata sul nodo N16
  VNF F1 installata sul nodo N19
  VNF F1 installata sul nodo N2
  VNF F2 installata sul nodo N2
  VNF F3 installata sul nodo N2
  VNF F1 installata sul nodo N20
  VNF F2 installata sul nodo N20
  VNF F3 installata sul nodo N20
  VNF F2 installata sul nodo N21
  VNF F3 installata sul nodo N21
  VNF F1 installata sul nodo N22
  VNF F2 installata sul nodo N22
  VNF F3 installata sul nodo N22
  VNF F4 installata sul nodo N23
  VNF F1 installata sul nodo N24
  VNF F2 installata sul nodo N24
  VNF F3 installata sul nodo N24
  VNF F1 installata sul nodo N3
  VNF F2 installata sul nodo N3
  VNF F3 installata sul nodo N3
  VNF F1 installata sul nodo N4
  VNF F2 installata sul nodo N4
  VNF F3 installata sul nodo N4
  VNF F1 installata sul nodo N6
  VNF F2 installata sul nodo N6
  VNF F3 installata sul nodo N6
  VNF F1 installata sul nodo N9
  VNF F2 installata sul nodo N9
  VNF F3 installata sul nodo N9

--- Assegnazioni domanda->VNF (z_if^k = 1) ---
  Domanda ds_D60_N20_N8: usa VNF F4 sul nodo N15
  Domanda ds_D60_N20_N8: usa VNF F1 sul nodo N4
  Domanda ds_D60_N20_N8: usa VNF F2 sul nodo N4
  Domanda ds_D60_N20_N8: usa VNF F3 sul nodo N4
  Domanda ds_D61_N3_N2: usa VNF F1 sul nodo N15
  Domanda ds_D61_N3_N2: usa VNF F2 sul nodo N15
  Domanda ds_D61_N3_N2: usa VNF F3 sul nodo N15
  Domanda ds_D61_N3_N2: usa VNF F4 sul nodo N15
  Domanda ds_D62_N2_N3: usa VNF F1 sul nodo N10
  Domanda ds_D62_N2_N3: usa VNF F2 sul nodo N10
  Domanda ds_D62_N2_N3: usa VNF F3 sul nodo N10
  Domanda ds_D62_N2_N3: usa VNF F4 sul nodo N15
  Domanda ds_D63_N20_N9: usa VNF F4 sul nodo N15
  Domanda ds_D63_N20_N9: usa VNF F1 sul nodo N20
  Domanda ds_D63_N20_N9: usa VNF F2 sul nodo N20
  Domanda ds_D63_N20_N9: usa VNF F3 sul nodo N20
  Domanda ds_D64_N14_N9: usa VNF F1 sul nodo N14
  Domanda ds_D64_N14_N9: usa VNF F2 sul nodo N14
  Domanda ds_D64_N14_N9: usa VNF F3 sul nodo N14
  Domanda ds_D64_N14_N9: usa VNF F4 sul nodo N15
  Domanda ds_D65_N9_N14: usa VNF F4 sul nodo N23
  Domanda ds_D65_N9_N14: usa VNF F1 sul nodo N9
  Domanda ds_D65_N9_N14: usa VNF F2 sul nodo N9
  Domanda ds_D65_N9_N14: usa VNF F3 sul nodo N9
  Domanda ds_D67_N20_N22: usa VNF F4 sul nodo N23
  Domanda ds_D67_N20_N22: usa VNF F1 sul nodo N24
  Domanda ds_D67_N20_N22: usa VNF F2 sul nodo N24
  Domanda ds_D67_N20_N22: usa VNF F3 sul nodo N24
  Domanda ds_D69_N10_N2: usa VNF F1 sul nodo N15
