
========================================
 ESECUZIONE TEST: C:\Users\annam\OneDrive\Desktop\universita\anno 3\2 semestre\tesi\VNF-model\test\ta1\ta1_12_2_G.dat
========================================

Tempo di esecuzione: 31.52 secondi
solve_result: limit

--- LIMITE DI TEMPO (30s) RAGGIUNTO ---
Migliore soluzione (Upper Bound): 6782.051245999977
Migliore lower bound: 0

L_max = 6782.051245999977

--- Installazioni VNF (y_if = 1) ---
  VNF F1 installata sul nodo N1
  VNF F1 installata sul nodo N10
  VNF F2 installata sul nodo N10
  VNF F3 installata sul nodo N10
  VNF F1 installata sul nodo N11
  VNF F2 installata sul nodo N11
  VNF F2 installata sul nodo N12
  VNF F3 installata sul nodo N12
  VNF F1 installata sul nodo N14
  VNF F2 installata sul nodo N14
  VNF F1 installata sul nodo N15
  VNF F2 installata sul nodo N15
  VNF F3 installata sul nodo N15
  VNF F4 installata sul nodo N15
  VNF F1 installata sul nodo N16
  VNF F2 installata sul nodo N16
  VNF F3 installata sul nodo N16
  VNF F4 installata sul nodo N16
  VNF F1 installata sul nodo N18
  VNF F2 installata sul nodo N18
  VNF F2 installata sul nodo N19
  VNF F3 installata sul nodo N19
  VNF F1 installata sul nodo N2
  VNF F3 installata sul nodo N2
  VNF F1 installata sul nodo N20
  VNF F2 installata sul nodo N20
  VNF F3 installata sul nodo N20
  VNF F3 installata sul nodo N21
  VNF F1 installata sul nodo N22
  VNF F2 installata sul nodo N22
  VNF F3 installata sul nodo N22
  VNF F1 installata sul nodo N23
  VNF F2 installata sul nodo N23
  VNF F3 installata sul nodo N23
  VNF F4 installata sul nodo N23
  VNF F1 installata sul nodo N24
  VNF F2 installata sul nodo N24
  VNF F3 installata sul nodo N24
  VNF F1 installata sul nodo N3
  VNF F2 installata sul nodo N3
  VNF F3 installata sul nodo N3
  VNF F1 installata sul nodo N4
  VNF F2 installata sul nodo N4
  VNF F3 installata sul nodo N4
  VNF F2 installata sul nodo N5
  VNF F3 installata sul nodo N5
  VNF F1 installata sul nodo N6
  VNF F3 installata sul nodo N6
  VNF F1 installata sul nodo N7
  VNF F2 installata sul nodo N7
  VNF F3 installata sul nodo N7
  VNF F2 installata sul nodo N8
  VNF F3 installata sul nodo N8
  VNF F1 installata sul nodo N9
  VNF F2 installata sul nodo N9
  VNF F3 installata sul nodo N9

--- Assegnazioni domanda->VNF (z_if^k = 1) ---
  Domanda ds_D86_N3_N10: usa VNF F4 sul nodo N15
  Domanda ds_D86_N3_N10: usa VNF F3 sul nodo N20
  Domanda ds_D86_N3_N10: usa VNF F2 sul nodo N23
  Domanda ds_D86_N3_N10: usa VNF F1 sul nodo N3
  Domanda ds_D87_N20_N10: usa VNF F2 sul nodo N15
  Domanda ds_D87_N20_N10: usa VNF F3 sul nodo N15
  Domanda ds_D87_N20_N10: usa VNF F4 sul nodo N15
  Domanda ds_D87_N20_N10: usa VNF F1 sul nodo N18
  Domanda ds_D88_N11_N3: usa VNF F3 sul nodo N10
  Domanda ds_D88_N11_N3: usa VNF F1 sul nodo N15
  Domanda ds_D88_N11_N3: usa VNF F2 sul nodo N15
  Domanda ds_D88_N11_N3: usa VNF F4 sul nodo N16
  Domanda ds_D89_N10_N20: usa VNF F1 sul nodo N11
  Domanda ds_D89_N10_N20: usa VNF F2 sul nodo N16
  Domanda ds_D89_N10_N20: usa VNF F3 sul nodo N16
  Domanda ds_D89_N10_N20: usa VNF F4 sul nodo N16
  Domanda ds_D90_N3_N20: usa VNF F1 sul nodo N14
  Domanda ds_D90_N3_N20: usa VNF F2 sul nodo N23
  Domanda ds_D90_N3_N20: usa VNF F3 sul nodo N23
  Domanda ds_D90_N3_N20: usa VNF F4 sul nodo N23
  Domanda ds_D91_N3_N11: usa VNF F1 sul nodo N16
  Domanda ds_D91_N3_N11: usa VNF F2 sul nodo N16
  Domanda ds_D91_N3_N11: usa VNF F3 sul nodo N16
  Domanda ds_D91_N3_N11: usa VNF F4 sul nodo N16
  Domanda ds_D92_N24_N23: usa VNF F2 sul nodo N15
  Domanda ds_D92_N24_N23: usa VNF F3 sul nodo N15
  Domanda ds_D92_N24_N23: usa VNF F4 sul nodo N15
  Domanda ds_D92_N24_N23: usa VNF F1 sul nodo N6
  Domanda ds_D94_N11_N10: usa VNF F4 sul nodo N15
  Domanda ds_D94_N11_N10: usa VNF F1 sul nodo N23
  Domanda ds_D94_N11_N10: usa VNF F2 sul nodo N23
  Domanda ds_D94_N11_N10: usa VNF F3 sul nodo N23
  Domanda ds_D95_N10_N11: usa VNF F1 sul nodo N10
  Domanda ds_D95_N10_N11: usa VNF F4 sul nodo N15
  Domanda ds_D95_N10_N11: usa VNF F2 sul nodo N16
  Domanda ds_D95_N10_N11: usa VNF F3 sul nodo N16
